Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Trabajo dependiente remunerado;30;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;;;???? Pregunta mal hecha.....;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;;Muy interesado;Muy interesado;Muy interesado;Sociología del trabajo y de las organizaciones;1;6;6;3;0;0;0;0;Licenciado;1;Universidad Arturo Prat de Iquique;Puente Alto;Santiago;52;Masculino;1;
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron totalmente;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;;;;Disminuyó el trabajo en la empresa y despidieron colegas;;;;;;;Disminución temporal salario;Desarrollo innovar adaptabilidad;Muy interesado;Muy interesado;Poco interés;Interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Muy interesado;No;0;;;;;;;;Licenciado;1;Universidad Central;Las condes;Las condes;33;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;En instalaciones regulares del empleador;;Aumentaron;0;Aumentaron;0;Satisfecho;Insatisfecho;Satisfecho;;;Encontré trabajo;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;Encontré trabajo;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Incertidumbre, esperanza, resignación;Interesado;Indiferente;Muy interesado;Indiferente;Interesado;Poco interés;Interesado;Poco interés;Poco interés;Enlace con la comunidad;1;7;2;0;0;0;0;0;Licenciado;1;Universidad Viña del Mar;Villa Alemana;Villa Alemana;29;Masculino;0;1
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Muy insatisfecho;Insatisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Freno en la investigación por imposibilidad de realizar trabajo de campo tradicional. Inseguridad si las instituciones educativas soportarán la crisis económica. Inestabilidad laboral total.;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Indiferente;Big data;0;;;;;;;;Doctorado;1;U. de Concepción;Valparaíso;Valparaíso;60;Femenino;1;
Trabajo independiente remunerado;30;Contrato a honorarios;;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Indiferente;Indiferente;;;;;Trajo conflictos familiares;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;"Evaluación social
Diseño de proyectos sociales
Encuestas de satisfacción";;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Indiferente;;1;2;2;4;1;1;1;1;Licenciado;0;Univerdidad de Chile;Padre Hurtado;Santiago;23;Femenino;0;0
Trabajo dependiente remunerado;50;Contrato indefinido;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Satisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;Investigación e Intervención Social;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Psicología Social;1;14;16;0;1;0;0;1;Licenciado;1;Universidad Diego Portales;El Bosque;Providencia;23;Masculino;1;
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Se mantuvieron igual;0;Muy insatisfecho;Muy Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Investigación social, género;Muy interesado;Poco interés;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Nada de Interés.;Estudios de género;1;0;0;0;0;1;1;0;Magíster;1;Universidad de Valparaíso;Valparaíso;Ninguna;33;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Muy Satisfecho;Muy Satisfecho;Insatisfecho;;Perdí mi trabajo;;;;;;Todo siguió igual;;;;;;;Encontrar un trabajo remunerado prontamente;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Interesado;Poco interés;Asesorías políticos;0;;;;;;;;Magíster;1;Universidad de Chile;Providencia;'--;41;Femenino;0;0
Trabajo dependiente remunerado;45;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron levemente;0;Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;mejorar mi educación y sueldo;Interesado;Muy interesado;Indiferente;Interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Muy interesado;sociología del espacio;1;10;7;0;1;1;0;0;Licenciado;1;unab;estacion central;providencia;25;Femenino;0;1
Trabajo dependiente remunerado;40;Contrata plazo fijo;;Recibe una liquidación de sueldo;Municipio;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Satisfecho;Satisfecho;Satisfecho;;;Encontré trabajo;;;;;;;Encontré trabajo;;;;;Políticas públicas;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Indiferente;Gestión pública;1;3;2;2;1;1;0;1;Magíster;1;Academia de humanismo cristiano;Ñuñoa;Peñalolen;49;Masculino;0;1
Trabajo dependiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Aumentaron;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Vinculación con comunidades, estadísticas y artículos;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Muy interesado;Poco interés;;1;2;17;1;0;0;0;1;Licenciado;1;Universidad de Valparaíso;Santiago Centro;Renca;30;Femenino;0;1
Trabajo independiente remunerado;20;Contrato a honorarios;;Entrega boleta de honorarios;Organización Internacional;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Se mantuvieron igual;0;Satisfecho;Indiferente;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Estabilidad laboral;Muy interesado;Poco interés;Interesado;Muy interesado;Interesado;Interesado;Indiferente;Poco interés;Nada de Interés.;Trabajo académico;1;1;9;3;0;1;1;1;Licenciado;0;Universidad de Chile;Santiago centro;Providencia;26;Femenino;0;1
Trabajo dependiente remunerado;60;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;;Cuartel de Bomberos;Se mantuvieron igual;0;Disminuyeron levemente;0;Insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;"Cambio; evolucionar; desarrollo del oficio.";Muy interesado;Muy interesado;Muy interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Análisis y evaluación de políticas públicas.;1;12;12;5;0;0;0;1;Licenciado;1;Universidad Católica Silva Henriquez.;Rancagua;Machalí y Rancagua;39;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Marketing o comunicación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Insatisfecho;Muy Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;continuar como analista de datos o liderar un equipo de analisis en el futuro;Muy interesado;Muy interesado;Poco interés;Poco interés;Indiferente;Interesado;Muy interesado;Muy interesado;Muy interesado;ninguno;1;0;0;1;0;0;0;0;Licenciado;1;Universidad de Concepción;Santiago Centro;Las Condes;36;Femenino;0;1
Trabajo dependiente remunerado;45;Contrata plazo fijo;;Recibe una liquidación de sueldo;Banca;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;1;Aumentaron levemente;1;Muy insatisfecho;Muy Satisfecho;Satisfecho;;Perdí mi trabajo;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;;;;"Educación 
Inclusión 
Diversidad";Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;"Educación 
Nuevas tecnologías";1;6;6;0;1;0;0;1;Licenciado;1;Universidad de Playa Ancha;Viña del mar;Viña del mar;28;Femenino;0;1
Trabajo dependiente remunerado;30;Contrato indefinido;;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Insatisfecho;Insatisfecho;Todo siguió igual;;;;Trajo conflictos familiares;;;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Proyecciones en sector público, trabajar en políticas públicas, investigación;Interesado;Indiferente;Muy interesado;Interesado;Muy interesado;Indiferente;Interesado;Interesado;Poco interés;Sociología urbana, sociología del trabajo, herramientas de análisis cualitativo, políticas públicas;1;18;8;1;1;0;0;0;Licenciado;1;Universidad Alberto Hurtado;Pudahuel;Recoleta;27;Masculino;0;0
Desempleado;;;;;;;;;Aumentaron levemente;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;;;;;;;Tuvo consecuencias emocionales;;;Investigación , politicas publicas, participacion ciudadana;Muy interesado;Interesado;Interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Interesado;sociologia urbana;1;0;1;0;0;0;0;0;Licenciado;1;Universidad de Playa Ancha;Valparaiso;valparaiso;30;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Indiferente;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Ninguna. Si no tienes contactos no existe posibilidad de inserción laboral de ningún tipo.;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Docencia;1;8;15;0;1;1;1;1;Licenciado;1;Universidad de Chile;La florida;sin trabajo;32;Masculino;0;0
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;;Poco interés;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Nada de Interés.;;0;;;;;;;;Licenciado;1;Pontificia Universidad Católica de Chile;Ñuñoa;Macul;29;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;;Disminuyeron totalmente;0;Muy insatisfecho;Muy Satisfecho;Insatisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Todo siguió igual;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;"Estudiar algún tipo de postgrado.
Encontrar trabajo.";Muy interesado;Indiferente;Interesado;Interesado;Nada de Interés.;Indiferente;Interesado;Indiferente;Nada de Interés.;Cine, investigación periodística.;1;6;3;1;1;0;1;1;Licenciado;1;Universidad Diego Portales;Providencia;Desempleada;26;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron levemente;0;Disminuyeron totalmente;0;Insatisfecho;Muy Satisfecho;Insatisfecho;;Perdí mi trabajo;;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Incertidumbre;Muy interesado;Muy interesado;Interesado;Interesado;;Muy interesado;Interesado;Interesado;Indiferente;Medio ambiente;1;4;0;0;1;0;0;0;Licenciado;1;Udp;Maipú;No aplica;27;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Muy Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;"Emprender paralelamente
Asesorías";Muy interesado;Interesado;Interesado;Interesado;Poco interés;Interesado;Interesado;Interesado;Interesado;;0;;;;;;;;Magíster;1;Universidad de Valparaíso;Concon;Valparaíso;33;Femenino;0;1
Trabajo dependiente remunerado;25;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Deseo trabajar en un centro de estudios dedicado a la infancia con un equipo multidisciplinario y más colegas sociologos ya que actualmente estoy sola en mi trabajo actual y no doy a basto o no logro avanzar.;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Nada de Interés.;Sociologia de la infancia;0;;;;;;;;Licenciado;1;PUC;Ñuñoa;Santiago centro;30;Femenino;0;0
Trabajo independiente remunerado;44;;honorario;Entrega boleta de honorarios;Municipio;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy insatisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;afecto a mi trabajo;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Mis proyecciones laborales son inciertas, ya que mi trabajo es a honorario y va a depender de los concursos que se encuentran paralizados por la pandemia;Interesado;Interesado;Muy interesado;Nada de Interés.;Muy interesado;Nada de Interés.;Poco interés;Interesado;Nada de Interés.;intervención comunitaria;1;12;12;4;1;1;1;1;Licenciado;1;universidad central;La Serena;La Serena;30;Femenino;0;1
Trabajo dependiente remunerado;16;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Aumentaron levemente;0;Insatisfecho;Satisfecho;Insatisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;;;De momento pocas, pero al menos este año puedo sortearla;Muy interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Indiferente;Nada de Interés.;Edición de textos;1;1;8;0;0;0;1;1;Magíster;1;Universidad de Chile;Santiago centro;Ñuñoa;43;Femenino;1;
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;;;;;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;Todo siguió igual;;;;;;;no entiendo la pregunta;Interesado;Muy interesado;Muy interesado;Indiferente;Muy interesado;Indiferente;Indiferente;Muy interesado;Nada de Interés.;innovación publica;1;3;0;0;1;0;0;0;Magíster;1;Universidad de Chile;Santiago;santiago;30;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron levemente;0;Aumentaron;1;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;;;;;;;Encontré trabajo;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Academia, Consultoria, Terreno;Interesado;Interesado;Poco interés;Interesado;Interesado;Muy interesado;Interesado;Interesado;Interesado;Editoriales;1;10;5;3;1;1;1;1;Magíster;1;Universidad de Concepcion;Concepcion;Concepcion;32;Masculino;0;0
Trabajo independiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Gobierno;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Aumentaron;0;Satisfecho;Muy Satisfecho;Satisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Buenas;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Nada de Interés.;;1;12;12;2;1;1;1;1;Licenciado;1;Uc;San Miguel;Estación  central (pero ahora  teletrabajo en casa por la pandemia);32;Femenino;0;0
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;;;Encontré trabajo;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Pasar a categoría senior o transformarme en Jefa de Programa Social en la Fundación en que trabajo;Interesado;Muy interesado;Poco interés;Muy interesado;Muy interesado;Nada de Interés.;Interesado;Muy interesado;Nada de Interés.;Ciencia de datos;1;2;0;0;0;0;0;0;Licenciado;1;Alberto Hurtado;Ñuñoa;Independencia;28;Femenino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Insatisfecho;Muy Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;;Tuvo consecuencias emocionales;;;Proyectos, gestión pública, organismos internacionales;Muy interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Interesado;Nada de Interés.;Género, territorio;1;1;0;0;1;0;0;0;Licenciado;1;Universidad de La Frontera;Temuco;Temuco;42;Femenino;0;0
Trabajo independiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Tener mi propia consultora de investigación social;Interesado;Muy interesado;Poco interés;Poco interés;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Big data, diseño de encuestas, gestión de personal y teoría feminista;1;7;7;0;1;0;0;0;Licenciado;1;Universidad Diego Portales;Ñuñoa;Providencia;27;Femenino;0;1
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;;;;Me dio felicidad;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Digital, programación y análisis de datos;Interesado;Muy interesado;Poco interés;Interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Big data;1;10;10;1;0;0;0;1;Licenciado;1;PUC;Lo Espejo;Providencia;30;Masculino;0;0
Trabajo independiente remunerado;54;;Con contrato por servicio (sin emitir boleta);No entregó nada;;Delivery;En la calle o vía pública;;Disminuyeron levemente;1;Disminuyeron totalmente;1;Muy insatisfecho;Indiferente;Insatisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Todo siguió igual;;;;;;;No lo sé;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Interesado;Desarrollo organizacional;0;;;;;;;;Magíster;1;Universidad Central de Venezuela;Ñuñoa;Varias;34;Masculino;0;1
Trabajo dependiente remunerado;50;Contrato a honorarios;;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Aumentaron;1;Aumentaron;1;Insatisfecho;Satisfecho;Satisfecho;;Perdí mi trabajo;;;;;;;;Encontré trabajo;;;;;Trabajo en una corporación, enfocado en la ayuda social, proyecto de reactivacion laboral de la zona y implementación de proyecto de seguridad asociado a la crisis;Poco interés;Muy interesado;Interesado;Interesado;Interesado;Nada de Interés.;Indiferente;Interesado;Interesado;Proyecto sociales y les de donaciones;1;3;1;0;0;0;0;0;Licenciado;1;Chile;Huechuraba;Corporación;47;Femenino;0;0
Trabajo dependiente remunerado;8;Informal (sin formalización de contrato);;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;1;Se mantuvieron igual;1;Satisfecho;Satisfecho;Satisfecho;;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;Encontrar algún trabajo que realmente sea lo que me gusta;Muy interesado;Indiferente;Poco interés;Indiferente;Poco interés;Interesado;Interesado;Poco interés;Nada de Interés.;Sociología de la descolonización feminista;1;1;7;1;1;1;0;0;Licenciado;1;Udp;??? Que importa??;???;27;Prefiero no decir;0;1
Desempleado;;;;;;;;;Disminuyeron levemente;0;Disminuyeron totalmente;0;Insatisfecho;Muy Satisfecho;Indiferente;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;No espero un escenario positivo para ejercer;Indiferente;Muy interesado;Interesado;Indiferente;Interesado;Indiferente;Interesado;Muy interesado;Interesado;urbanismo;1;12;15;2;1;1;1;1;Licenciado;0;Universidad de Chile;Peñalolén;No trabajo;24;Femenino;0;0
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Municipio;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;dedicarme a la planificación;Muy interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;hacer actividades deportivas y de ocio;0;;;;;;;;Licenciado;1;universidad arturo prat;cobquecura;cobquecura;42;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Insatisfecho;Indiferente;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Ciencia de datos, investigación cuantitativa, modelos predictivos.;Interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Aporte de la ciencia de datos, machine learning e inteligencia artificial a la sociología.;1;6;0;0;1;0;0;0;Magíster;1;Católica;Viña del Mar;Ninguna;34;Masculino;0;1
Trabajo dependiente remunerado;49;Contrata renovable;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;;Tuvo consecuencias emocionales;;;Continuar en el ámbito laboral actual;Interesado;Interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Nada en particular;0;;;;;;;;Magíster;1;U de Chile;Santiago;Santiago;47;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Se mantuvieron igual;0;Muy insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Análisis de datos;Interesado;Muy interesado;Interesado;Poco interés;Poco interés;Poco interés;Interesado;Muy interesado;Muy interesado;.;1;8;0;0;1;0;0;0;Licenciado;1;Universidad de Valparaíso;Viña del Mar;Viña del Mar;30;Masculino;0;0
Trabajo dependiente remunerado;55;Contrato indefinido;;Recibe una liquidación de sueldo;;Tic;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Insatisfecho;Indiferente;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;No entiendo la pregunta;Muy interesado;Muy interesado;Indiferente;Indiferente;Interesado;Indiferente;Interesado;Muy interesado;Muy interesado;Estadisticas publicas;0;;;;;;;;Licenciado;1;UC;Providencia;Santiago centro y huechuraba;43;Femenino;0;1
