"";"p1.trabajo";"p2.horastrabajo";"p3.contrato";"p4.otrocontrato";"p5.pago";"p6.empleador";"p7.otroempleador";"p8.lugartrabajo";"p9.otrolugartrabajo";"p10.ingresosoctubre";"p11.cambiooctubre";"p12.ingresocovid";"p13.cambiocovid";"p14.satisfaccionlaboral";"p15.satisfaccionsalud";"p16.satisfacciongeneral";"p17.octubre.igual";"p18.octubre.pierdetrabajo";"p19.octubre.encuentratrabajo";"p20.octubre.animo";"p21.octubre.familia";"p22.octubre.salud";"p23.octubre.otro";"p24.covid.igual";"p25.covid.pierdetrabajo";"p26.covid.encuentratrabajo";"p27.covid.animo";"p28.covid.emocional";"p29.covid.salud";"p30.covid.otro";"p31.proyeccionlaboral";"p32.cuali";"p33.cuanti";"p34.gestionpublica";"p35.intervencion";"p36.proyectos";"p37.teoria";"p38.general";"p39.software";"p40.mercado";"p41.otros";"p42.honorarios";"p43.boletas2018";"p44.boletas2019";"p45.boletas2020";"p46.fuenteingreso2018";"p47.fuenteingreso2019";"p48.fuenteingreso2020";"p49.afectohonorarios";"p50.gradoacademico";"p51.titulo";"p52.universidad";"p53.comunaresidencia";"p54.comunatrabajo";"p55.edad";"p56.genero";"p57.asociado";"p58.interescolegiarse"
"213";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy insatisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"encontrar trabajo";NA;"Poco";"Interesado";"Muy interesado";"Muy interesado";"Indiferente";"Interesado";"Indiferente";"Poco";"Estudios de género y corporalidades disidentes";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Universidad Alberto Hurtado";"Puente Alto";"No trabajo";24;"Femenino";"No";"Si"
"214";"Trabajo dependiente remunerado";40;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;"Perdí mi trabajo";NA;NA;NA;NA;"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"incertidumbre";"Muy interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Poco";"investigación";"Si";1;0;0;"No";"No";"Si";"No";"Licenciado";"Si";"Pontificia Universidad Católica";"Maipú";"Santiago";31;"Femenino";"No";"Si"
"215";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"Si";"Disminuyeron levemente";"Si";"Muy insatisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"Postulación de proyectos";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Poco";"Metodologías participativas";"Si";3;2;0;"Si";"Si";"Si";"No";"Licenciado";"Si";"Diego portales";"Independencia";"No aplica";28;"Femenino";"No";NA
"216";"Trabajo dependiente remunerado";45;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En oficina o espacio propio o arrendado temporalmente";"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"Si";"Satisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";"Perdí mi trabajo";NA;NA;"Trajo conflictos familiares";NA;"";NA;NA;"Encontré trabajo";"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Estudiar fuera 
Seguir trabajando en lo actual";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Nada";"";"Si";15;15;2;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad Diego portales";"Providencia";"Ñuñoa";27;"Masculino";"No";"Si"
"217";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Muy insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Inestabilidad, precarización, pocas oportunidades para jóvenes";"Muy interesado";"Poco";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Educación socio ambiental";"Si";0;6;2;"No";"No";"No";"Si";"Licenciado";"Si";"Universidad Diego portales";"Las condes";"Providencia (trabajaba)";26;"Femenino";"No";"Si"
"218";"Trabajo dependiente remunerado";44;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Municipio";"";"En la calle o vía pública";"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;"Encontré trabajo";NA;"Tuvo consecuencias emocionales";NA;"";"Equidad social, salud mental y feminismo";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Nada";"";"Si";14;12;2;"Si";"Si";"Si";"Si";"Magíster";"Si";"Universidad de Concepción";"Estación central";"Lo Prado";28;"Femenino";"No";"Si"
"219";"Trabajo dependiente remunerado";20;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Indiferente";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"investigación, acción colectiva,";"Interesado";"Poco";"Interesado";"Muy interesado";"Interesado";"Nada";"Interesado";"Poco";"Poco";"";"Si";10;12;4;"Si";"Si";"Si";"Si";"Magíster";"Si";"Universidad Diego Portales";"Pudahuel";"Santiago Centro";26;"Femenino";"No";"Si"
"220";"Trabajo independiente remunerado";30;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Proyectos sociales";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";NA;"No";"Satisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"en municipalidades";"Interesado";"Interesado";NA;"Interesado";"Indiferente";"Nada";"Muy interesado";"Interesado";"Nada";"intervención social comunitaria";"Si";15;12;1;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad de Concepción";"Alhue";"Alhue";25;"Femenino";"No";"Si"
"221";"Trabajo dependiente remunerado";6;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Se mantuvieron igual";"No";"Satisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Seguir realizando clases y ojalá salgan proyectos de investigación";"Muy interesado";"Muy interesado";"Poco";"Indiferente";"Interesado";"Nada";"Nada";"Muy interesado";"Muy interesado";"Nada";"Si";20;20;3;"Si";"No";"Si";"Si";"Licenciado";"Si";"Universidad de Chile";"Coquimbo";"La serena";41;"Femenino";"No";"No"
"222";"Trabajo dependiente remunerado";44;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Disminuyeron levemente";"No";"Satisfecho";"Insatisfecho";"Satisfecho";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Investigación, doctorado";"Interesado";"Muy interesado";"Indiferente";"Indiferente";"Interesado";"Poco";"Interesado";"Muy interesado";"Nada";"";"Si";17;25;5;"Si";"Si";"Si";"Si";"Magíster";"No";"UC";"Macul";"Macul";26;"Femenino";"No";"No"
"223";"Trabajo independiente remunerado";20;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Nada";"";"Si";10;20;2;"Si";"Si";"Si";"Si";"Magíster";"Si";"Universidad Alberto Hurtado";"Pudahuel";"Providencia- Pudahuel";39;"Femenino";"No";"Si"
"224";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;NA;NA;"No encuentro trabajo";"Soy sociólogo egresado en agosto del año pasado, cada vez es más desilusionante buscar trabajo cada vez hay menos oportunidades luego de la revuelta y el covid-19";"Interesado";"Interesado";"Interesado";"Indiferente";"Indiferente";"Indiferente";"Interesado";"Interesado";"Indiferente";"Sociología del medio ambiente y trabajo comunitario";"Si";8;10;1;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad Diego Portales";"Las condes";"";25;"Masculino";"No";"Si"
"225";"Trabajo independiente remunerado";44;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Municipio";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Aumentaron levemente";"No";"Insatisfecho";"Satisfecho";"Satisfecho";NA;NA;"Encontré trabajo";NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Inseguridad temor e inestabilidad";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Niñez, discapacidad y feminismo";"Si";9;0;3;"Si";"No";"Si";"Si";"Licenciado";"Si";"Universidad academia de humanismo cristiano";"Santa cruz";"Santa cruz";31;"Femenino";"No";"Si"
"226";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron levemente";"No";"Disminuyeron totalmente";"No";"Indiferente";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Por una parte indagar en otra área laboral de la cuál tengo conocimientos y por otra, seguir ligado a actividades relacionadas con la actividad sociológica.";"Interesado";"Interesado";"Interesado";"Indiferente";"Interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Sociología económica y jurídica";"Si";3;1;0;"No";"No";"No";"No";"Licenciado";"No";"Universidad de Concepción";"Concepción";"Concepción";34;"Masculino";"Si";NA
"227";"Trabajo independiente remunerado";2;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"Si";"Se mantuvieron igual";"No";"Muy insatisfecho";"Muy Satisfecho";"Insatisfecho";NA;"Perdí mi trabajo";NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Conseguir empleo,";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Poco";"Nada";"Interesado";"Muy interesado";"Muy interesado";"";"Si";12;10;1;"Si";"No";"Si";"Si";"Licenciado";"Si";"Universidad Nacional Andrés Bello";"Pudahuel";"Santiago";29;"Femenino";"No";"Si"
"228";"Empresa individual o familiar";6;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";NA;"Veterinaria";NA;"Domicilio";"Disminuyeron totalmente";"Si";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Satisfecho";"Satisfecho";NA;"Perdí mi trabajo";NA;NA;NA;NA;"";NA;"Perdí mi trabajo";NA;NA;NA;NA;"";"Por el momento ninguna proyecccion, no hay proyectos, ni anuncios de trabajo, creo que siguere por otro camino, no veo futuro en la sociologia sin pituto";"Interesado";"Muy interesado";"Indiferente";"Indiferente";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Capacitacion";"Si";30;12;4;"No";"Si";"No";"Si";"Licenciado";"Si";"Andres bello";"La florida";"Vitacura";30;"Femenino";"No";"Si"
"229";"Empresa individual o familiar";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Marketing o comunicación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"Si";"Se mantuvieron igual";"No";"Muy Satisfecho";"Satisfecho";"Muy Satisfecho";NA;"Perdí mi trabajo";"Encontré trabajo";NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Es importante actualizarte y diversificar tus habilidades pra poder conseguir trabajo rápidamente aunque uno lo pierda.";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Indiferente";"Indiferente";"Muy interesado";"Interesado";"Idiomas y diseño han sido mis habilidades extras que me han permitido ser interesante";"Si";2;7;0;"Si";"No";"No";"Si";"Magíster";"Si";"Universidad nacional autónoma de Mexico";"Santiago";"Las condes";35;"Femenino";"No";"Si"
"230";"Trabajo dependiente remunerado";44;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Se mantuvieron igual";"No";"Indiferente";"Satisfecho";"Indiferente";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"";"Indiferente";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Nada";"";"Si";4;10;4;"No";"No";"Si";"Si";"Licenciado";"Si";"Pontificia Universidad Católica de Chile";"Santiago Centro";"Santiago Centro";26;"Femenino";"No";"Si"
"231";"Trabajo dependiente remunerado";9;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;"Trajo conflictos familiares";NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"Académica, género, intervención";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Nada";"Metodologías de investigación e intervención en torno a temáticas de género";"Si";10;10;1;"No";"No";"Si";"Si";"Licenciado";"Si";"Universidad Viña del Mar";"Viña del Mar";"Viña del Mar";33;"Femenino";"No";"No"
"232";"Trabajo independiente remunerado";22;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"No";"Muy Satisfecho";"Indiferente";"Indiferente";NA;NA;NA;NA;NA;NA;"Me revitalicé";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"perdí un segundo trabajo";"mantenerme";"Muy interesado";"Muy interesado";"Poco";"Indiferente";"Interesado";"Nada";"Interesado";"Muy interesado";"Nada";"";"Si";16;18;6;"Si";"No";"Si";"Si";"Magíster";"Si";"Universidad Católica";"Ñuñoa";"Recoleta";28;"Femenino";"No";"No"
"233";"Trabajo dependiente remunerado";8;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Investigación
Consultoría
Docencia";"Poco";"Muy interesado";"Nada";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Nada";"";"Si";21;13;4;"No";"No";"No";"Si";"Magíster";"Si";"Universidad Alberto Hurtado";"Vitacura";"San Joaquín";31;"Femenino";"No";"Si"
"234";"Trabajo dependiente remunerado";60;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Estudios de mercado";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"bajasueldo cesantia incertidumbre";"Muy interesado";"Poco";"Muy interesado";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Muy interesado";"metodologías cualitativas online";"Si";17;15;0;"Si";"Si";"No";"Si";"Licenciado";"Si";"Academia de Humanismo Cristiano";"Recoleta";"Recoleta (teletrabajo)";32;"Femenino";"No";"No"
"235";"Venta o negocio";5;"Informal (sin formalización de contrato)";"";"No entregó nada";NA;"Emprendimiento personal";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"Si";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Muy insatisfecho";"Insatisfecho";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;"Perdí mi trabajo";NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Política indígena, medio ambiente,  agroecología";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Interesado";"Indiferente";"Poco";"Todo lo relacionado al ámbito agroecológico";"Si";5;3;0;"Si";"Si";"No";"Si";"Licenciado";"Si";"Universidad Diego Portales";"La florida";"La Florida";25;"Femenino";"No";"Si"
"236";"Trabajo dependiente remunerado";40;"Contrata plazo fijo";"";"No entregó nada";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Insatisfecho";"Insatisfecho";NA;NA;"Encontré trabajo";NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"ACADEMIA";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Indiferente";"Indiferente";"Interesado";"Poco";"SUSTENTABILIDAD";"Si";5;6;5;"Si";"No";"No";"Si";"Licenciado";"Si";"PUC";"SANTIAGO CENTRO";"MACUL";25;"Femenino";"No";"No"
"237";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"Si";"Insatisfecho";"Muy Satisfecho";"Muy Satisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;NA;NA;"Se canceló proyecto en el que trabajaba + impacto a nivel mental";"Cultura, arte, envejecimiento";"Interesado";"Nada";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Poco";"Nada";"Sociología de la cultura";"Si";0;0;0;"No";"No";"No";NA;"Licenciado";"Si";"Universidad de Valparaíso";"Valparaíso";"Valparaíso";26;"Femenino";"No";"Si"
"238";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron levemente";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"";"Indiferente";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"";"Si";12;10;0;"Si";"No";"No";"No";"Licenciado";"Si";"Universidad Alberto Hurtado";"Macul";"Providencia";31;"Femenino";"No";"No"
"239";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";NA;"JUSTICIA";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"ESTUDIOS ESTADÍSTICA PÚBLICO";"Poco";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Muy interesado";"Poco";"CRISIS SOCIALES Y READAPTACIÓN";"Si";6;6;0;"Si";"No";"No";"No";"Licenciado";"Si";"UNIVERSIDAD CENTRAL";"LA SERENA";"LA SERENA";27;"Femenino";"No";"Si"
"240";"Trabajo dependiente remunerado";44;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;NA;NA;"";"";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"";"Si";3;0;0;"No";"No";"No";"No";"Magíster";"Si";"Universidad de La Frontera";"Temuco";"Temuco";46;"Masculino";"No";"No"
"241";"Trabajo independiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Municipio";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy insatisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Políticas públicas, incorporación de la sociología en informes psicosociales";"Muy interesado";"Muy interesado";"Muy interesado";"Indiferente";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";".";"Si";12;12;4;"Si";NA;"Si";"Si";"Licenciado";"Si";"Universidad de Concepción";"Talcahuano";"Coronel";26;"Masculino";"No";"Si"
"242";"Trabajo dependiente remunerado";30;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";"Trajo conflictos familiares";NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"Disminución de ingresos";"Estudio de posgrado";NA;"Interesado";"Indiferente";"Interesado";"Interesado";"Poco";"Indiferente";"Interesado";"Nada";"Metodología de investigación-acción participativa";"Si";10;14;6;"No";"No";"Si";"Si";"Licenciado";"Si";"Pontificia Universidad Católica de Chile";"Providencia";"Providencia";28;"Masculino";"No";"No"
"243";"Trabajo dependiente remunerado";48;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Adaptación de rutinas";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"";"Poco";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Poco";"";"Si";12;1;0;"Si";"No";"No";"No";"Licenciado";"Si";"Universidad de La Frontera";"Punta Arenas";"Punta Arenas";41;"Femenino";"No";"No"
"244";"Trabajo dependiente remunerado";44;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"disminución de tiempo libre";"estudiar doctorado";"Interesado";"Muy interesado";"Poco";"Poco";"Poco";"Interesado";"Interesado";"Muy interesado";"Nada";"nada";"Si";99999999;99999999999;0;"Si";"No";"No";"No";"Magíster";"Si";"Universidad de Chile";"La Serena";"La Serena";33;"Masculino";"No";"No"
"245";"Trabajo dependiente remunerado";44;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";NA;"";"Disminuyeron levemente";"No";"Disminuyeron levemente";"No";"Satisfecho";"Insatisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;"Trajo conflictos familiares";NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Gestión pública, programas sociales y proyectos.";"Interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Planificación y Desarrollo Regional.";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Universidad Arturo Prat";"Iquique";"Iquique.";38;"Masculino";"No";"Si"
"246";"Trabajo dependiente remunerado";45;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En instalaciones regulares del empleador";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Investigación, Academia, gestión pública.";"Interesado";"Interesado";"Muy interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Otros";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"URo";"Valparaíso";"Valparaíso";34;"Prefiero no decir";"No";"No"
"247";"Trabajo dependiente remunerado";35;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Aumentaron levemente";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Seguiré trabajando en temas poco relacionados al quehacer Sociológico";"Interesado";"Indiferente";"Poco";"Poco";"Poco";"Nada";"Nada";"Poco";"Nada";"";"Si";15;15;3;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad de Concepción";"Coyhaique";"Coyhaique";42;"Masculino";"Si";NA
